director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres,comb
Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan,clueless,Comedy Romance,Donald Faison Dan Hedaya Elisa Donovan Amy Heckerling clueless
Todd Haynes,Dennis Quaid,Celia Weston,Michael Gaston,far from heaven,Drama Romance,Dennis Quaid Celia Weston Michael Gaston Todd Haynes far from heaven
Steve Pink,Adam Scott,Gillian Jacobs,Collette Wolfe,hot tub time machine 2,Comedy Sci-Fi,Adam Scott Gillian Jacobs Collette Wolfe Steve Pink hot tub time machine 2
Philip Kaufman,Kate Winslet,Stephen Marcus,Amelia Warner,quills,Biography Drama,Kate Winslet Stephen Marcus Amelia Warner Philip Kaufman quills
Martin McDonagh,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,seven psychopaths,Comedy Crime,Abbie Cornish Gabourey Sidibe Michael Stuhlbarg Martin McDonagh seven psychopaths
Kasi Lemmons,Colm Feore,Tamara Tunie,Aunjanue Ellis,the caveman's valentine,Crime Drama Music Mystery Thriller,Colm Feore Tamara Tunie Aunjanue Ellis Kasi Lemmons the caveman's valentine
unknown,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,the border            ,Action Crime Drama Thriller,Jacek Koman Marian Dziedziel Jaroslaw Boberek unknown the border            
Oliver Hirschbiegel,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,downfall,Biography Drama History War,Thomas Kretschmann Bruno Ganz Alexandra Maria Lara Oliver Hirschbiegel downfall
Alejandro Amenábar,Belén Rueda,Lola Dueñas,Tamar Novas,the sea inside,Biography Drama Romance,Belén Rueda Lola Dueñas Tamar Novas Alejandro Amenábar the sea inside
Jonathan Glazer,Scarlett Johansson,Paul Brannigan,Alison Chand,under the skin,Drama Horror Sci-Fi Thriller,Scarlett Johansson Paul Brannigan Alison Chand Jonathan Glazer under the skin
Barry Levinson,Robin Williams,J.T. Walsh,Bruno Kirby,"good morning, vietnam",Biography Comedy Drama War,"Robin Williams J.T. Walsh Bruno Kirby Barry Levinson good morning, vietnam"
Hyung-rae Shim,Jason Mewes,Stephanie Danielson,Michael Rispoli,the last godfather,Comedy,Jason Mewes Stephanie Danielson Michael Rispoli Hyung-rae Shim the last godfather
Jon M. Chu,Usher Raymond,Sean Kingston,Boys II Men,justin bieber: never say never,Documentary Music,Usher Raymond Sean Kingston Boys II Men Jon M. Chu justin bieber: never say never
Darren Aronofsky,Natalie Portman,Mila Kunis,Mark Margolis,black swan,Drama Thriller,Natalie Portman Mila Kunis Mark Margolis Darren Aronofsky black swan
José Padilha,Gary Oldman,Abbie Cornish,Jennifer Ehle,robocop,Action Crime Sci-Fi Thriller,Gary Oldman Abbie Cornish Jennifer Ehle José Padilha robocop
Francis Ford Coppola,Robert De Niro,Al Pacino,Robert Duvall,the godfather: part ii,Crime Drama,Robert De Niro Al Pacino Robert Duvall Francis Ford Coppola the godfather: part ii
Thomas Carter,Sean Patrick Thomas,Terry Kinney,Fredro Starr,save the last dance,Drama Music Romance,Sean Patrick Thomas Terry Kinney Fredro Starr Thomas Carter save the last dance
Renny Harlin,Tuesday Knight,Rodney Eastman,Brooke Bundy,a nightmare on elm street 4: the dream master,Fantasy Horror Thriller,Tuesday Knight Rodney Eastman Brooke Bundy Renny Harlin a nightmare on elm street 4: the dream master
Patricia Riggen,Jennifer Garner,Brighton Sharbino,Martin Henderson,miracles from heaven,Drama,Jennifer Garner Brighton Sharbino Martin Henderson Patricia Riggen miracles from heaven
Danny Leiner,Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,"dude, where's my car?",Comedy Mystery,"Jennifer Garner Mary Lynn Rajskub Marla Sokoloff Danny Leiner dude, where's my car?"
Christopher Cain,Jack Palance,Patrick Wayne,Brian Keith,young guns,Action Crime Drama Thriller Western,Jack Palance Patrick Wayne Brian Keith Christopher Cain young guns
Theodore Melfi,Bill Murray,Naomi Watts,Reg E. Cathey,st. vincent,Comedy Drama,Bill Murray Naomi Watts Reg E. Cathey Theodore Melfi st. vincent
Steve Pink,Joe Lo Truglio,Regina Hall,Bryan Callen,about last night,Comedy Romance,Joe Lo Truglio Regina Hall Bryan Callen Steve Pink about last night
Gil Junger,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,10 things i hate about you,Comedy Drama Romance,Joseph Gordon-Levitt Heath Ledger Andrew Keegan Gil Junger 10 things i hate about you
Ed Decter,Zooey Deschanel,Eddie Griffin,Gene Simmons,the new guy,Comedy,Zooey Deschanel Eddie Griffin Gene Simmons Ed Decter the new guy
Gene Quintano,Jon Lovitz,Lin Shaye,Bill Nunn,loaded weapon 1,Action Comedy Crime,Jon Lovitz Lin Shaye Bill Nunn Gene Quintano loaded weapon 1
Jaume Collet-Serra,Óscar Jaenada,Brett Cullen,Sedona Legge,the shallows,Drama Horror Thriller,Óscar Jaenada Brett Cullen Sedona Legge Jaume Collet-Serra the shallows
Eric Bress,Logan Lerman,Eric Stoltz,Cameron Bright,the butterfly effect,Sci-Fi Thriller,Logan Lerman Eric Stoltz Cameron Bright Eric Bress the butterfly effect
Chris Koch,Chris Elliott,Mark Webber,Jean Smart,snow day,Adventure Comedy Family,Chris Elliott Mark Webber Jean Smart Chris Koch snow day
Preston A. Whitmore II,Mekhi Phifer,Chris Brown,Loretta Devine,this christmas,Comedy Drama Romance,Mekhi Phifer Chris Brown Loretta Devine Preston A. Whitmore II this christmas
Bob Clark,Kathleen Turner,Dom DeLuise,Ruby Dee,baby geniuses,Comedy Crime Family Sci-Fi,Kathleen Turner Dom DeLuise Ruby Dee Bob Clark baby geniuses
Kirk Wong,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,the big hit,Action Comedy Crime Thriller,Bokeem Woodbine Elliott Gould Antonio Sabato Jr. Kirk Wong the big hit
Bronwen Hughes,Gregory Smith,Eartha Kitt,Charlotte Sullivan,harriet the spy,Comedy Drama Family,Gregory Smith Eartha Kitt Charlotte Sullivan Bronwen Hughes harriet the spy
John Lafia,Jenny Agutter,Beth Grant,Greg Germann,child's play 2,Fantasy Horror,Jenny Agutter Beth Grant Greg Germann John Lafia child's play 2
Sam Miller,Leslie Bibb,Kate del Castillo,Henry Simmons,no good deed,Crime Thriller,Leslie Bibb Kate del Castillo Henry Simmons Sam Miller no good deed
Frank Darabont,Toby Jones,Alexa Davalos,Jeffrey DeMunn,the mist,Horror,Toby Jones Alexa Davalos Jeffrey DeMunn Frank Darabont the mist
Alex Garland,Elina Alminas,Sonoya Mizuno,Corey Johnson,ex machina,Drama Mystery Sci-Fi Thriller,Elina Alminas Sonoya Mizuno Corey Johnson Alex Garland ex machina
Spike Jonze,Willie Garson,Orson Bean,Mary Kay Place,being john malkovich,Comedy Drama Fantasy,Willie Garson Orson Bean Mary Kay Place Spike Jonze being john malkovich
Mark Brown,Mo'Nique,Vivica A. Fox,Tamala Jones,two can play that game,Comedy Romance,Mo'Nique Vivica A. Fox Tamala Jones Mark Brown two can play that game
Dave Green,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,earth to echo,Adventure Family Sci-Fi,Teo Halm Ella Wahlestedt Jason Gray-Stanford Dave Green earth to echo
John Stockwell,Kirsten Dunst,Jay Hernandez,Rolando Molina,crazy/beautiful,Drama Romance,Kirsten Dunst Jay Hernandez Rolando Molina John Stockwell crazy/beautiful
Clint Eastwood,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,letters from iwo jima,Drama History War,Yuki Matsuzaki Kazunari Ninomiya Shidô Nakamura Clint Eastwood letters from iwo jima
Michael Polish,J.K. Simmons,Virginia Madsen,Bruce Dern,the astronaut farmer,Adventure Drama Sci-Fi,J.K. Simmons Virginia Madsen Bruce Dern Michael Polish the astronaut farmer
Daisy von Scherler Mayer,LL Cool J,Jada Pinkett Smith,Dave Chappelle,woo,Comedy Romance,LL Cool J Jada Pinkett Smith Dave Chappelle Daisy von Scherler Mayer woo
Lenny Abrahamson,Joan Allen,Jacob Tremblay,Cas Anvar,room,Drama,Joan Allen Jacob Tremblay Cas Anvar Lenny Abrahamson room
Bob Saget,Don Rickles,Jack Warden,Traylor Howard,dirty work,Comedy,Don Rickles Jack Warden Traylor Howard Bob Saget dirty work
John Waters,Kathleen Turner,Sam Waterston,Traci Lords,serial mom,Comedy Crime Thriller,Kathleen Turner Sam Waterston Traci Lords John Waters serial mom
Andrew Fleming,Ryan Reynolds,Will Ferrell,Kirsten Dunst,dick,Comedy,Ryan Reynolds Will Ferrell Kirsten Dunst Andrew Fleming dick
Niels Arden Oplev,Michael Nyqvist,David Dencik,Lena Endre,del 1 - män som hatar kvinnor            ,Action Crime Mystery Thriller,Michael Nyqvist David Dencik Lena Endre Niels Arden Oplev del 1 - män som hatar kvinnor            
Craig Bolotin,Rosario Dawson,Vanessa Williams,Robert Ri'chard,light it up,Drama Thriller,Rosario Dawson Vanessa Williams Robert Ri'chard Craig Bolotin light it up
Mark Christopher,Salma Hayek,Ellen Albertini Dow,Sela Ward,54,Drama Music,Salma Hayek Ellen Albertini Dow Sela Ward Mark Christopher 54
Blair Hayes,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,bubble boy,Adventure Comedy Romance Sci-Fi,Jake Gyllenhaal Geoffrey Arend Marley Shelton Blair Hayes bubble boy
Jez Butterworth,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,birthday girl,Comedy Crime Thriller,Mark Gatiss Mathieu Kassovitz Ben Chaplin Jez Butterworth birthday girl
Jon Lucas,Justin Chon,Josie Loren,Sarah Wright,21 & over,Comedy,Justin Chon Josie Loren Sarah Wright Jon Lucas 21 & over
Olivier Assayas,Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,"paris, je t'aime",Comedy Drama Romance,"Steve Buscemi Miranda Richardson Catalina Sandino Moreno Olivier Assayas paris, je t'aime"
Rod Lurie,Harry Lennix,Kathryn Morris,Peter Coyote,resurrecting the champ,Drama Sport,Harry Lennix Kathryn Morris Peter Coyote Rod Lurie resurrecting the champ
Paul Weitz,Tina Fey,Sarita Choudhury,Christopher Evan Welch,admission,Comedy Drama Romance,Tina Fey Sarita Choudhury Christopher Evan Welch Paul Weitz admission
Patrice Leconte,Emir Kusturica,Daniel Auteuil,Yves Jacques,the widow of saint-pierre,Drama Romance,Emir Kusturica Daniel Auteuil Yves Jacques Patrice Leconte the widow of saint-pierre
Atom Egoyan,Liam Neeson,Meghan Heffern,Natalie Lisinska,chloe,Drama Mystery Romance Thriller,Liam Neeson Meghan Heffern Natalie Lisinska Atom Egoyan chloe
Paul Mazursky,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,faithful,Comedy Crime Drama,Chazz Palminteri Ryan O'Neal Paul Mazursky Paul Mazursky faithful
Jim Sheridan,Natalie Portman,Jake Gyllenhaal,Ethan Suplee,brothers,Drama Thriller,Natalie Portman Jake Gyllenhaal Ethan Suplee Jim Sheridan brothers
Sidney Lumet,Peter Dinklage,Vin Diesel,Alex Rocco,find me guilty,Biography Comedy Crime Drama,Peter Dinklage Vin Diesel Alex Rocco Sidney Lumet find me guilty
Stephen Chbosky,Logan Lerman,Ezra Miller,Kate Walsh,the perks of being a wallflower,Drama Romance,Logan Lerman Ezra Miller Kate Walsh Stephen Chbosky the perks of being a wallflower
Jon Hess,Burt Young,Ian Gomez,Thomas Ian Griffith,excessive force,Action,Burt Young Ian Gomez Thomas Ian Griffith Jon Hess excessive force
Douglas McGrath,Toby Jones,Isabella Rossellini,Hope Davis,infamous,Biography Crime Drama,Toby Jones Isabella Rossellini Hope Davis Douglas McGrath infamous
Mark Neveldine,Djimon Hounsou,Alison Lohman,Dougray Scott,the vatican tapes,Horror Thriller,Djimon Hounsou Alison Lohman Dougray Scott Mark Neveldine the vatican tapes
Joe Cornish,John Boyega,Luke Treadaway,Jodie Whittaker,attack the block,Action Comedy Sci-Fi Thriller,John Boyega Luke Treadaway Jodie Whittaker Joe Cornish attack the block
Angelina Jolie Pitt,Jelena Jovanova,Nikola Djuricko,Branko Djuric,in the land of blood and honey,Drama Romance War,Jelena Jovanova Nikola Djuricko Branko Djuric Angelina Jolie Pitt in the land of blood and honey
Brad Anderson,Michael Imperioli,Tara Platt,Roma Maffia,the call,Crime Thriller,Michael Imperioli Tara Platt Roma Maffia Brad Anderson the call
John H. Lee,Liam Neeson,Dean Dawson,Jung-jae Lee,operation chromite,Action Drama History War,Liam Neeson Dean Dawson Jung-jae Lee John H. Lee operation chromite
John Stainton,Steve Irwin,Aden Young,Steve Bastoni,the crocodile hunter: collision course,Action Adventure Comedy Family,Steve Irwin Aden Young Steve Bastoni John Stainton the crocodile hunter: collision course
Glenn Ficarra,Dameon Clarke,Louis Herthum,Annie Golden,i love you phillip morris,Biography Comedy Crime Drama Romance,Dameon Clarke Louis Herthum Annie Golden Glenn Ficarra i love you phillip morris
Jean-Jacques Annaud,Rae Dawn Chong,Everett McGill,Gary Schwartz,quest for fire,Adventure Drama History,Rae Dawn Chong Everett McGill Gary Schwartz Jean-Jacques Annaud quest for fire
Denzel Washington,Denzel Washington,Kevin Connolly,Derek Luke,antwone fisher,Biography Drama,Denzel Washington Kevin Connolly Derek Luke Denzel Washington antwone fisher
Michael Hoffman,Gabriel Millman,Embeth Davidtz,Rob Morrow,the emperor's club,Drama,Gabriel Millman Embeth Davidtz Rob Morrow Michael Hoffman the emperor's club
Tony Scott,Brad Pitt,Gary Oldman,Michael Rapaport,true romance,Action Crime Drama Romance Thriller,Brad Pitt Gary Oldman Michael Rapaport Tony Scott true romance
Benedek Fliegauf,Eva Green,Matt Smith,Hannah Murray,womb,Drama Romance Sci-Fi,Eva Green Matt Smith Hannah Murray Benedek Fliegauf womb
James Foley,Kevin Spacey,Al Pacino,Jude Ciccolella,glengarry glen ross,Crime Drama Mystery,Kevin Spacey Al Pacino Jude Ciccolella James Foley glengarry glen ross
Michael Winterbottom,Liam Aiken,Ned Beatty,Jay R. Ferguson,the killer inside me,Crime Drama Thriller,Liam Aiken Ned Beatty Jay R. Ferguson Michael Winterbottom the killer inside me
Stewart Hendler,Julian Morris,Margo Harshman,Rumer Willis,sorority row,Horror Mystery,Julian Morris Margo Harshman Rumer Willis Stewart Hendler sorority row
John Cromwell,David Niven,Mary Astor,Ronald Colman,the prisoner of zenda,Adventure Drama Romance,David Niven Mary Astor Ronald Colman John Cromwell the prisoner of zenda
Craig Gillespie,Ryan Gosling,Kelli Garner,Paul Schneider,lars and the real girl,Comedy Drama Romance,Ryan Gosling Kelli Garner Paul Schneider Craig Gillespie lars and the real girl
Mark Herman,Richard Johnson,Sheila Hancock,Cara Horgan,the boy in the striped pajamas,Drama War,Richard Johnson Sheila Hancock Cara Horgan Mark Herman the boy in the striped pajamas
Lars von Trier,Catherine Deneuve,Udo Kier,Björk,dancer in the dark,Crime Drama Musical,Catherine Deneuve Udo Kier Björk Lars von Trier dancer in the dark
Gillian Armstrong,Tom Wilkinson,Richard Roxburgh,Clive Russell,oscar and lucinda,Drama Romance,Tom Wilkinson Richard Roxburgh Clive Russell Gillian Armstrong oscar and lucinda
Abel Ferrara,Isabella Rossellini,Vincent Gallo,Gretchen Mol,the funeral,Crime Drama,Isabella Rossellini Vincent Gallo Gretchen Mol Abel Ferrara the funeral
Brian Koppelman,Jenna Fischer,David Costabile,Richard Schiff,solitary man,Comedy Drama Romance,Jenna Fischer David Costabile Richard Schiff Brian Koppelman solitary man
Ethan Maniquis,Robert De Niro,Don Johnson,Cheech Marin,machete,Action Crime Thriller,Robert De Niro Don Johnson Cheech Marin Ethan Maniquis machete
George Hickenlooper,Kevin Spacey,Eric Schweig,Christian Campbell,casino jack,Biography Comedy Crime Drama,Kevin Spacey Eric Schweig Christian Campbell George Hickenlooper casino jack
Don Bluth,Judith Barsi,Gabriel Damon,Bill Erwin,the land before time,Adventure Animation Family,Judith Barsi Gabriel Damon Bill Erwin Don Bluth the land before time
Je-kyu Kang,Min-sik Choi,Bin Won,Dong-gun Jang,tae guk gi: the brotherhood of war,Action Drama War,Min-sik Choi Bin Won Dong-gun Jang Je-kyu Kang tae guk gi: the brotherhood of war
William Dear,Clifton Collins Jr.,Cheech Marin,Bruce McGill,the perfect game,Comedy Drama Family Sport,Clifton Collins Jr. Cheech Marin Bruce McGill William Dear the perfect game
William Friedkin,Ellen Burstyn,Linda Blair,Lee J. Cobb,the exorcist,Horror,Ellen Burstyn Linda Blair Lee J. Cobb William Friedkin the exorcist
Steven Spielberg,Roy Scheider,Robert Shaw,Murray Hamilton,jaws,Adventure Drama Thriller,Roy Scheider Robert Shaw Murray Hamilton Steven Spielberg jaws
Paul Weitz,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,american pie,Comedy,Alyson Hannigan Shannon Elizabeth Natasha Lyonne Paul Weitz american pie
Stéphane Aubier,Mackenzie Foy,Megan Mullally,Lambert Wilson,ernest & celestine,Animation Comedy Crime Drama Family,Mackenzie Foy Megan Mullally Lambert Wilson Stéphane Aubier ernest & celestine
Michael Ritchie,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,the golden child,Action Adventure Comedy Fantasy Mystery,Victor Wong Randall 'Tex' Cobb Charlotte Lewis Michael Ritchie the golden child
Tim Story,Chris Brown,Romany Malco,Regina Hall,think like a man,Comedy Romance,Chris Brown Romany Malco Regina Hall Tim Story think like a man
Tim Story,Sean Patrick Thomas,Jason George,Cedric the Entertainer,barbershop,Comedy Drama,Sean Patrick Thomas Jason George Cedric the Entertainer Tim Story barbershop
Nicholas Meyer,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,star trek ii: the wrath of khan,Action Adventure Sci-Fi,Leonard Nimoy Kirstie Alley Nichelle Nichols Nicholas Meyer star trek ii: the wrath of khan
Tom Shadyac,Sean Young,Udo Kier,David Margulies,ace ventura: pet detective,Comedy,Sean Young Udo Kier David Margulies Tom Shadyac ace ventura: pet detective
John Badham,Matthew Broderick,Barry Corbin,Ally Sheedy,wargames,Sci-Fi Thriller,Matthew Broderick Barry Corbin Ally Sheedy John Badham wargames
Peter Weir,Harrison Ford,Viggo Mortensen,Lukas Haas,witness,Crime Drama Romance Thriller,Harrison Ford Viggo Mortensen Lukas Haas Peter Weir witness
Mike McCoy,Alex Veadov,Jason Cottle,Rorke Denver,act of valor,Action Adventure Drama Thriller War,Alex Veadov Jason Cottle Rorke Denver Mike McCoy act of valor
Anne Fletcher,Channing Tatum,Alyson Stoner,Josh Henderson,step up,Crime Drama Music Romance,Channing Tatum Alyson Stoner Josh Henderson Anne Fletcher step up
Mike Judge,Bruce Willis,Demi Moore,John Doman,beavis and butt-head do america,Adventure Animation Comedy Crime,Bruce Willis Demi Moore John Doman Mike Judge beavis and butt-head do america
Quentin Tarantino,Robert De Niro,Sid Haig,Robert Forster,jackie brown,Crime Thriller,Robert De Niro Sid Haig Robert Forster Quentin Tarantino jackie brown
Jon Hurwitz,Danneel Ackles,Eric Winter,Beverly D'Angelo,harold & kumar escape from guantanamo bay,Adventure Comedy,Danneel Ackles Eric Winter Beverly D'Angelo Jon Hurwitz harold & kumar escape from guantanamo bay
Josh Trank,Michael Kelly,Alex Russell,Ashley Hinshaw,chronicle,Drama Sci-Fi Thriller,Michael Kelly Alex Russell Ashley Hinshaw Josh Trank chronicle
Barbra Streisand,Miriam Margolyes,Amy Irving,Steven Hill,yentl,Drama Musical Romance,Miriam Margolyes Amy Irving Steven Hill Barbra Streisand yentl
Terry Gilliam,Shelley Duvall,Michael Palin,Kenny Baker,time bandits,Adventure Comedy Fantasy Sci-Fi,Shelley Duvall Michael Palin Kenny Baker Terry Gilliam time bandits
Nima Nourizadeh,Dax Flame,Kirby Bliss Blanton,Oliver Cooper,project x,Comedy Crime,Dax Flame Kirby Bliss Blanton Oliver Cooper Nima Nourizadeh project x
Franklin J. Schaffner,George C. Scott,Karl Malden,Bill Hickman,patton,Biography Drama War,George C. Scott Karl Malden Bill Hickman Franklin J. Schaffner patton
Mark Romanek,Robin Williams,Gary Cole,Connie Nielsen,one hour photo,Drama Thriller,Robin Williams Gary Cole Connie Nielsen Mark Romanek one hour photo
John Erick Dowdle,Andrew Fiscella,Jay Hernandez,Dania Ramirez,quarantine,Horror Sci-Fi Thriller,Andrew Fiscella Jay Hernandez Dania Ramirez John Erick Dowdle quarantine
David Moreau,Chloë Grace Moretz,Alessandro Nivola,Obba Babatundé,the eye,Horror Mystery,Chloë Grace Moretz Alessandro Nivola Obba Babatundé David Moreau the eye
Christopher Erskin,Vanessa Williams,Shannon Elizabeth,Shad Moss,johnson family vacation,Comedy,Vanessa Williams Shannon Elizabeth Shad Moss Christopher Erskin johnson family vacation
Jesse Dylan,Hector Elizondo,Fred Willard,T.J. Thyne,how high,Comedy Fantasy,Hector Elizondo Fred Willard T.J. Thyne Jesse Dylan how high
Brian Henson,Steven Mackintosh,Jerry Nelson,Steve Whitmire,the muppet christmas carol,Comedy Drama Family Fantasy Musical,Steven Mackintosh Jerry Nelson Steve Whitmire Brian Henson the muppet christmas carol
Martin Campbell,Eva Green,Tobias Menzies,Ivana Milicevic,casino royale,Action Adventure Thriller,Eva Green Tobias Menzies Ivana Milicevic Martin Campbell casino royale
Julie Taymor,Salma Hayek,Roger Rees,Valeria Golino,frida,Biography Drama Romance,Salma Hayek Roger Rees Valeria Golino Julie Taymor frida
Dan Cutforth,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,katy perry: part of me,Documentary Music,Lexie Contursi Ashley Ashida Dixon Anthony Burrell Dan Cutforth katy perry: part of me
Josh Boone,Shailene Woodley,Sam Trammell,Nat Wolff,the fault in our stars,Drama Romance,Shailene Woodley Sam Trammell Nat Wolff Josh Boone the fault in our stars
John Dahl,Matt Damon,Martin Landau,Gretchen Mol,rounders,Crime Drama,Matt Damon Martin Landau Gretchen Mol John Dahl rounders
Chris Rock,Rosario Dawson,Romany Malco,J.B. Smoove,top five,Comedy Romance,Rosario Dawson Romany Malco J.B. Smoove Chris Rock top five
John Frankenheimer,Talia Shire,Richard Dysart,Robert Foxworth,prophecy,Horror Sci-Fi,Talia Shire Richard Dysart Robert Foxworth John Frankenheimer prophecy
David Koepp,Illeana Douglas,Kathryn Erbe,Lusia Strus,stir of echoes,Horror Mystery Thriller,Illeana Douglas Kathryn Erbe Lusia Strus David Koepp stir of echoes
unknown,Peter Mensah,Kelvin Taylor,Viva Bianca,spartacus: war of the damned            ,Action Adventure Biography Drama History,Peter Mensah Kelvin Taylor Viva Bianca unknown spartacus: war of the damned            
Stephen Frears,Steve Coogan,Mare Winningham,Peter Hermann,philomena,Biography Drama,Steve Coogan Mare Winningham Peter Hermann Stephen Frears philomena
Mike Binder,Alicia Witt,Erika Christensen,Joan Allen,the upside of anger,Comedy Drama,Alicia Witt Erika Christensen Joan Allen Mike Binder the upside of anger
Franklin J. Schaffner,Laurence Olivier,Anne Meara,Steve Guttenberg,the boys from brazil,Drama Thriller,Laurence Olivier Anne Meara Steve Guttenberg Franklin J. Schaffner the boys from brazil
Elizabeth Allen Rosenbaum,Tammin Sursok,Joanna 'JoJo' Levesque,Dichen Lachman,aquamarine,Comedy Family Fantasy Romance,Tammin Sursok Joanna 'JoJo' Levesque Dichen Lachman Elizabeth Allen Rosenbaum aquamarine
Jake Schreier,Nat Wolff,Cara Delevingne,Meg Crosbie,paper towns,Drama Mystery Romance,Nat Wolff Cara Delevingne Meg Crosbie Jake Schreier paper towns
Cheryl Dunye,Michael Imperioli,Marsha Thomason,Bai Ling,my baby's daddy,Comedy,Michael Imperioli Marsha Thomason Bai Ling Cheryl Dunye my baby's daddy
Alexander Payne,Devin Ratray,Bruce Dern,Will Forte,nebraska,Adventure Comedy Drama,Devin Ratray Bruce Dern Will Forte Alexander Payne nebraska
Ernest R. Dickerson,CCH Pounder,Jada Pinkett Smith,Gary Farmer,tales from the crypt: demon knight,Action Fantasy Horror Thriller,CCH Pounder Jada Pinkett Smith Gary Farmer Ernest R. Dickerson tales from the crypt: demon knight
Tim Hill,Noel Fisher,Amber Valletta,Larry Miller,max keeble's big move,Comedy Crime Family,Noel Fisher Amber Valletta Larry Miller Tim Hill max keeble's big move
Jason Reitman,Charlize Theron,Patton Oswalt,Collette Wolfe,young adult,Comedy Drama,Charlize Theron Patton Oswalt Collette Wolfe Jason Reitman young adult
Mark Neveldine,Jason Statham,Edi Gathegi,Jose Pablo Cantillo,crank,Action Crime Thriller,Jason Statham Edi Gathegi Jose Pablo Cantillo Mark Neveldine crank
Lionel C. Martin,Bernie Mac,Gilbert Gottfried,Lark Voorhies,how to be a player,Comedy,Bernie Mac Gilbert Gottfried Lark Voorhies Lionel C. Martin how to be a player
Richard LaGravenese,Holly Hunter,Eddie Cibrian,Jenette Goldstein,living out loud,Comedy Drama Romance,Holly Hunter Eddie Cibrian Jenette Goldstein Richard LaGravenese living out loud
Sanaa Hamri,Common,Laz Alonso,Mehcad Brooks,just wright,Comedy Romance Sport,Common Laz Alonso Mehcad Brooks Sanaa Hamri just wright
Jonathan Demme,Anne Hathaway,Rosemarie DeWitt,Bill Irwin,rachel getting married,Drama Romance,Anne Hathaway Rosemarie DeWitt Bill Irwin Jonathan Demme rachel getting married
Bob Rafelson,Anjelica Huston,Michael Lerner,John Colicos,the postman always rings twice,Crime Drama Romance Thriller,Anjelica Huston Michael Lerner John Colicos Bob Rafelson the postman always rings twice
Peter Webber,Scarlett Johansson,Colin Firth,Tom Wilkinson,girl with a pearl earring,Biography Drama Romance,Scarlett Johansson Colin Firth Tom Wilkinson Peter Webber girl with a pearl earring
Wolfgang Petersen,Jürgen Prochnow,Martin Semmelrogge,Herbert Grönemeyer,das boot,Adventure Drama Thriller War,Jürgen Prochnow Martin Semmelrogge Herbert Grönemeyer Wolfgang Petersen das boot
John Lee Hancock,Dennis Quaid,Marc Blucas,Jordi Mollà,the alamo,Drama History War Western,Dennis Quaid Marc Blucas Jordi Mollà John Lee Hancock the alamo
Wallace Wolodarsky,Heather Matarazzo,Barry Watson,Harland Williams,sorority boys,Comedy,Heather Matarazzo Barry Watson Harland Williams Wallace Wolodarsky sorority boys
Richard Curtis,Tom Hughes,Tom Hollander,Lindsay Duncan,about time,Drama Fantasy Romance,Tom Hughes Tom Hollander Lindsay Duncan Richard Curtis about time
Yimou Zhang,Takeshi Kaneshiro,Andy Lau,Zhengyong Zhang,house of flying daggers,Action Adventure Drama Romance,Takeshi Kaneshiro Andy Lau Zhengyong Zhang Yimou Zhang house of flying daggers
Nicholas Jarecki,Nate Parker,Curtiss Cook,Reg E. Cathey,arbitrage,Drama Thriller,Nate Parker Curtiss Cook Reg E. Cathey Nicholas Jarecki arbitrage
Dean Israelite,Gary Weeks,Jonny Weston,Sofia Black-D'Elia,project almanac,Sci-Fi Thriller,Gary Weeks Jonny Weston Sofia Black-D'Elia Dean Israelite project almanac
Darnell Martin,Cedric the Entertainer,Veronika Dash,Tammy Blanchard,cadillac records,Biography Drama Music,Cedric the Entertainer Veronika Dash Tammy Blanchard Darnell Martin cadillac records
Scott Alexander,Sarah Silverman,Dave Chappelle,Sherman Hemsley,screwed,Comedy Crime,Sarah Silverman Dave Chappelle Sherman Hemsley Scott Alexander screwed
Stuart Gordon,Christopher Lambert,Kurtwood Smith,Clifton Collins Jr.,fortress,Action Crime Sci-Fi Thriller,Christopher Lambert Kurtwood Smith Clifton Collins Jr. Stuart Gordon fortress
Christopher Guest,John Michael Higgins,Catherine O'Hara,Ed Begley Jr.,for your consideration,Comedy,John Michael Higgins Catherine O'Hara Ed Begley Jr. Christopher Guest for your consideration
Woody Allen,Melanie Griffith,Aleksa Palladino,Greg Mottola,celebrity,Comedy Drama,Melanie Griffith Aleksa Palladino Greg Mottola Woody Allen celebrity
